Date,Price,Open,High,Low,Vol.,Change %
10-09-2012,"10,069.85","10,153.80","10,181.85","10,041.25",11.63M,-0.76%
08-09-2012,"10,147.05","10,127.60","10,162.15","10,127.60",1.03M,0.25%
07-09-2012,"10,122.00","10,047.15","10,134.75","10,036.45",21.27M,2.31%
06-09-2012,"9,893.15","9,846.55","9,947.45","9,831.35",16.51M,0.66%
05-09-2012,"9,827.90","9,965.00","9,976.40","9,814.05",22.50M,-1.92%
04-09-2012,"10,020.65","9,967.45","10,033.00","9,916.85",13.48M,0.58%
03-09-2012,"9,963.00","10,030.85","10,082.50","9,941.50",13.62M,-0.28%
31-08-2012,"9,990.50","10,037.00","10,130.95","9,948.70",19.26M,-0.94%
30-08-2012,"10,085.20","9,978.20","10,130.90","9,959.05",25.22M,0.73%
29-08-2012,"10,011.90","10,077.40","10,127.00","9,998.10",14.29M,-0.47%
28-08-2012,"10,059.40","10,149.95","10,151.35","10,022.85",17.97M,-0.90%
27-08-2012,"10,150.40","10,338.25","10,338.25","10,134.40",14.23M,-1.77%
24-08-2012,"10,332.85","10,404.50","10,412.25","10,318.55",15.43M,-1.19%
23-08-2012,"10,457.70","10,508.75","10,560.85","10,413.30",15.61M,-0.14%
22-08-2012,"10,472.20","10,413.95","10,533.70","10,401.75",13.30M,0.03%
21-08-2012,"10,469.50","10,436.85","10,484.55","10,353.85",14.49M,0.50%
17-08-2012,"10,417.90","10,425.85","10,505.85","10,354.70",13.92M,-0.08%
16-08-2012,"10,426.75","10,537.95","10,551.05","10,405.70",14.74M,-0.88%
14-08-2012,"10,519.15","10,411.55","10,547.10","10,387.95",17.24M,1.13%
13-08-2012,"10,401.30","10,339.20","10,415.20","10,284.05",19.61M,0.41%
10-08-2012,"10,358.95","10,427.35","10,449.25","10,272.05",28.01M,-0.83%
09-08-2012,"10,445.90","10,572.40","10,614.20","10,425.15",17.57M,-0.79%
08-08-2012,"10,529.25","10,621.00","10,640.75","10,511.35",15.05M,-0.59%
07-08-2012,"10,591.95","10,499.70","10,616.90","10,463.55",19.07M,1.24%
06-08-2012,"10,462.40","10,426.75","10,501.45","10,426.75",16.99M,1.42%
03-08-2012,"10,315.60","10,312.80","10,336.25","10,209.15",17.02M,-0.62%
02-08-2012,"10,379.60","10,408.95","10,417.50","10,310.85",12.87M,-0.39%
01-08-2012,"10,419.90","10,347.80","10,445.20","10,324.60",16.18M,0.34%
31-07-2012,"10,384.10","10,462.80","10,467.95","10,239.70",26.43M,-0.27%
30-07-2012,"10,412.15","10,222.55","10,427.05","10,222.55",26.31M,2.68%
27-07-2012,"10,140.55","10,256.25","10,401.65","10,102.75",36.51M,0.56%
26-07-2012,"10,083.80","10,306.50","10,314.05","10,056.15",28.16M,-1.79%
25-07-2012,"10,267.85","10,286.55","10,315.40","10,224.75",15.46M,-0.30%
24-07-2012,"10,299.00","10,282.65","10,349.45","10,237.25",13.19M,0.24%
23-07-2012,"10,274.60","10,401.70","10,402.25","10,254.00",12.62M,-1.97%
20-07-2012,"10,481.60","10,622.85","10,622.85","10,463.40",13.23M,-1.32%
19-07-2012,"10,622.05","10,684.40","10,708.60","10,606.60",17.80M,0.14%
18-07-2012,"10,607.10","10,569.05","10,629.15","10,498.60",15.78M,0.46%
17-07-2012,"10,558.05","10,648.70","10,673.50","10,518.95",14.07M,-0.10%
16-07-2012,"10,568.20","10,614.10","10,692.80","10,552.70",13.92M,-0.25%
13-07-2012,"10,594.45","10,654.90","10,715.15","10,568.75",12.35M,-0.21%
12-07-2012,"10,616.30","10,640.15","10,676.00","10,557.35",13.93M,-0.91%
11-07-2012,"10,713.30","10,701.60","10,782.55","10,692.95",18.96M,-0.36%
10-07-2012,"10,751.55","10,617.05","10,767.25","10,615.30",20.53M,1.54%
09-07-2012,"10,588.05","10,594.95","10,635.90","10,524.75",16.27M,-0.63%
06-07-2012,"10,655.35","10,637.95","10,687.90","10,547.35",18.90M,0.13%
05-07-2012,"10,641.90","10,520.05","10,651.20","10,468.75",17.94M,1.07%
04-07-2012,"10,529.45","10,522.40","10,548.90","10,482.85",17.85M,0.46%
03-07-2012,"10,481.30","10,460.00","10,544.30","10,444.30",18.41M,0.66%
02-07-2012,"10,412.20","10,366.50","10,450.30","10,303.65",17.59M,0.69%
29-06-2012,"10,340.65","10,105.45","10,360.00","10,105.45",21.54M,3.37%
28-06-2012,"10,003.85","10,023.90","10,052.20","9,950.10",49.49M,-0.14%
27-06-2012,"10,017.80","10,025.45","10,109.65","9,988.50",15.64M,0.48%
26-06-2012,"9,970.10","9,914.80","10,024.65","9,901.85",12.82M,0.45%
25-06-2012,"9,925.75","10,068.90","10,193.45","9,892.80",15.99M,-1.12%
22-06-2012,"10,038.35","9,907.35","10,073.45","9,873.85",15.79M,0.05%
21-06-2012,"10,033.65","9,795.95","10,046.90","9,769.30",17.72M,2.05%
