Date,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume
"April 11, 2015, Saturday",0.24004814,0.30108386,0.061035734,7
"April 11, 2016, Monday",-0.4088366,0.111961976,0.52079856,7
"April 11, 2018, Wednesday",-0.57546353,0.038258556,0.6137221,9
"April 11, 2019, Thursday",-0.12666704,0.31183216,0.43849918,4
"April 11, 2020, Saturday",-0.38838524,0.12002321,0.5084084,7
"April 12, 2003, Saturday",-0.12000375,0.24998434,0.36998808,4
"April 12, 2004, Monday",0.3705361,0.5274425,0.15690646,7
"April 12, 2005, Tuesday",0.06509776,0.4019025,0.3368047,5
"April 12, 2006, Wednesday",-0.079311475,0.35233185,0.4316433,11
"April 12, 2007, Thursday",0.5949635,0.6437386,0.048775144,7
"April 12, 2008, Saturday",-0.17411743,0.2942493,0.46836674,4
"April 12, 2009, Sunday",0.04876885,0.4548035,0.40603465,4
"April 12, 2010, Monday",0.38363206,0.46085787,0.077225804,18
"April 12, 2011, Tuesday",0.05272714,0.2077581,0.15503095,10
"April 12, 2012, Thursday",0.08095824,0.4254679,0.34450966,13
"April 12, 2013, Friday",-0.032433208,0.22657084,0.25900406,17
"April 12, 2014, Saturday",0.054940462,0.33027634,0.27533588,7
"April 12, 2015, Sunday",0.23062944,0.33136263,0.10073318,6
"April 12, 2016, Tuesday",-0.2938,0.14624882,0.44004878,11
"April 12, 2017, Wednesday",-0.090399586,0.19254802,0.2829476,6
"April 12, 2018, Thursday",-0.4017418,0.085574284,0.4873161,8
"April 12, 2019, Friday",-0.92517745,0.012635086,0.93781257,1
"April 12, 2020, Sunday",0.18022496,0.39121565,0.21099067,3
"April 13, 2004, Tuesday",0.06399706,0.23970655,0.17570947,10
"April 13, 2005, Wednesday",0.13520011,0.3109013,0.17570122,11
"April 13, 2006, Thursday",0.57537043,0.6840632,0.10869274,10
"April 13, 2007, Friday",-0.16994831,0.33292577,0.502874,7
"April 13, 2008, Sunday",0.09881848,0.10731986,0.008501378,1
"April 13, 2009, Monday",0.38988551,0.5563566,0.1664711,5
"April 13, 2010, Tuesday",-0.14979912,0.15914918,0.3089483,13
"April 13, 2011, Wednesday",0.020045867,0.25809887,0.238053,5
"April 13, 2012, Friday",0.24975367,0.40308836,0.15333466,15
"April 13, 2013, Saturday",0.055388708,0.35293,0.2975413,7
"April 13, 2014, Sunday",-0.3305182,0.16236764,0.49288583,4
"April 13, 2015, Monday",0.22420843,0.41702637,0.19281793,6
"April 13, 2016, Wednesday",-0.24944627,0.206736,0.4561823,5
"April 13, 2017, Thursday",0.09197372,0.3696442,0.27767047,6
"April 13, 2018, Friday",-0.847451,0.037686292,0.88513726,3
"April 13, 2019, Saturday",0.40222934,0.45581135,0.05358202,2
"April 13, 2020, Monday",0.57869434,0.59222955,0.013535177,5
"April 14, 2003, Monday",-0.006779189,0.1799038,0.18668297,13
"April 14, 2004, Wednesday",-0.07269541,0.1559152,0.22861062,9
